id,creation_date_time,resolution_date_time,res_time,priority,urgency,assigned_organization,inc_type
1,01/04/2021 00:05:00+05,01/04/2021 00:17:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2,01/04/2021 00:05:00+05,01/04/2021 00:05:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
3,01/04/2021 00:05:00+05,01/04/2021 00:42:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
4,01/04/2021 00:36:00+05,01/04/2021 00:36:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
5,01/04/2021 00:38:00+05,01/04/2021 00:38:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
6,01/04/2021 00:38:00+05,01/04/2021 12:46:00+05,,Media,3-Medio,Mantenimiento Cargo,PERFORMANCE ISSUE
7,01/04/2021 04:04:00+05,01/04/2021 04:04:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
8,01/04/2021 04:31:00+05,02/04/2021 09:40:00+05,,Media,3-Medio,Mantenimiento Pasaje,SOFTWARE FAILURE
9,01/04/2021 05:46:00+05,01/04/2021 12:13:00+05,,Baja,4-Baja,Unidad Control del Servicio,SOFTWARE FAILURE
10,01/04/2021 06:14:00+05,01/04/2021 07:32:00+05,,Media,2-Alta,Unidad de Operaciones Ordenadores,ACCESS FAILURE
11,01/04/2021 08:27:00+05,13/04/2021 08:02:00+05,,Media,2-Alta,Unidad de Instalaciones y Telecomunicaciones,HARDWARE FAILURE
12,01/04/2021 08:58:00+05,01/04/2021 08:58:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
13,01/04/2021 11:22:00+05,05/04/2021 12:28:00+05,,Media,3-Medio,Mantenimiento Comercial y CRM,ACCESS FAILURE
14,01/04/2021 09:01:00+05,05/04/2021 08:54:00+05,,Baja,4-Baja,Mantenimiento COBOL,PROCESS FAILURE
15,01/04/2021 10:07:00+05,05/04/2021 09:35:00+05,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,PRINTING FAILURE
16,01/04/2021 09:11:00+05,05/04/2021 08:55:00+05,,Baja,4-Baja,Mantenimiento COBOL,PROCESS FAILURE
17,01/04/2021 09:31:00+05,01/04/2021 12:02:00+05,,Baja,4-Baja,Unidad de Operaciones Ordenadores,SOFTWARE FAILURE
18,01/04/2021 10:40:00+05,01/04/2021 10:40:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
19,01/04/2021 12:13:00+05,08/04/2021 13:36:00+05,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
20,01/04/2021 10:13:00+05,05/04/2021 10:57:00+05,,Baja,4-Baja,Mantenimiento Corporativa y RRHH,SOFTWARE FAILURE
21,01/04/2021 10:53:00+05,06/04/2021 10:32:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PRINTING FAILURE
22,01/04/2021 10:43:00+05,06/04/2021 11:39:00+05,,Baja,4-Baja,Mantenimiento Financiero,SOFTWARE FAILURE
23,01/04/2021 10:47:00+05,05/04/2021 09:09:00+05,,Media,3-Medio,Mantenimiento Herramientas IT & DBAs,ACCESS FAILURE
24,01/04/2021 14:08:00+05,01/04/2021 14:08:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
25,01/04/2021 11:02:00+05,01/04/2021 23:36:00+05,,Media,3-Medio,Mantenimiento Pasaje,SOFTWARE FAILURE
26,01/04/2021 11:12:00+05,01/04/2021 12:20:00+05,,Media,3-Medio,Mantenimiento Operaciones,SOFTWARE FAILURE
27,01/04/2021 11:19:00+05,05/04/2021 09:02:00+05,,Media,3-Medio,Mantenimiento COBOL,PROCESS FAILURE
28,01/04/2021 11:22:00+05,01/04/2021 13:31:00+05,,Media,3-Medio,Mantenimiento BI,PERFORMANCE ISSUE
29,01/04/2021 11:36:00+05,12/04/2021 15:12:00+05,,Baja,4-Baja,Mantenimiento Financiero,SOFTWARE FAILURE
30,01/04/2021 11:45:00+05,29/04/2021 10:48:00+05,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,TELEPHONY FAILURE
31,01/04/2021 11:46:00+05,07/04/2021 22:13:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,HARDWARE FAILURE
32,01/04/2021 00:14:00+05,05/04/2021 14:26:00+05,,Media,3-Medio,Unidad Seguridad Informática,SECURITY ISSUE
33,01/04/2021 00:33:00+05,01/04/2021 00:33:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
34,01/04/2021 01:02:00+05,06/04/2021 07:23:00+05,,Media,3-Medio,Mantenimiento Herramientas IT & DBAs,ACCESS FAILURE
35,01/04/2021 00:51:00+05,01/04/2021 00:51:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
36,01/04/2021 00:52:00+05,01/04/2021 00:52:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
37,01/04/2021 00:53:00+05,05/04/2021 11:34:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
38,01/04/2021 01:27:00+05,01/04/2021 01:27:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
39,01/04/2021 01:07:00+05,05/04/2021 12:58:00+05,,Media,3-Medio,Mantenimiento Movilidad,SOFTWARE FAILURE
40,01/04/2021 03:32:00+05,05/04/2021 08:44:00+05,,Media,3-Medio,Unidad Control del Servicio,DEFAULT
41,01/04/2021 03:58:00+05,07/04/2021 14:14:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,SOFTWARE FAILURE
42,01/04/2021 04:23:00+05,01/04/2021 06:14:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
43,01/04/2021 07:31:00+05,01/04/2021 07:31:00+05,,Baja,4-Baja,Unidad Control del Servicio,PERFORMANCE ISSUE
44,01/04/2021 09:44:00+05,05/04/2021 09:25:00+05,,Media,3-Medio,Mantenimiento Pasaje,ACCESS FAILURE
45,01/04/2021 07:47:00+05,01/04/2021 10:00:00+05,,Media,2-Alta,Unidad de Operaciones Ordenadores,ACCESS FAILURE
46,01/04/2021 08:20:00+05,02/04/2021 15:52:00+05,,Baja,4-Baja,Unidad de Operaciones Ordenadores,DATA ISSUE
47,01/04/2021 08:29:00+05,07/04/2021 06:53:00+05,,Baja,4-Baja,Unidad de Operaciones Ordenadores,DATA ISSUE
48,01/04/2021 09:33:00+05,01/04/2021 09:33:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
49,01/04/2021 10:21:00+05,09/04/2021 13:32:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
50,01/04/2021 10:21:00+05,,,Media,3-Medio,Unidad Control del Servicio,SECURITY ISSUE
51,01/04/2021 10:23:00+05,13/04/2021 12:38:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,SECURITY ISSUE
52,01/04/2021 11:00:00+05,01/04/2021 11:00:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
53,01/04/2021 11:11:00+05,01/04/2021 11:11:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
